method,num_queries,topk,corr_threshold,directed_hits,unique_pair_hits,queries_with_hit,query_hit_rate,hit_yield_per_1000_ranked,mean_hit_rank,median_hit_corr,setting,low_tanimoto
Morgan,1856,100,0.3,1004,606,254,0.13685344827586207,5.4094827586206895,49.47211155378486,0.36333855986595154,low_morgan_lt_0.15,0.15
AtomPair,1856,100,0.3,1371,936,287,0.15463362068965517,7.386853448275862,49.099197665937275,0.3569687306880951,low_morgan_lt_0.15,0.15
Avalon,1856,100,0.3,1347,957,269,0.14493534482758622,7.257543103448276,50.73645137342242,0.36491870880126953,low_morgan_lt_0.15,0.15
Random,1856,100,0.3,716,691,210,0.11314655172413793,3.8577586206896552,49.537709497206706,0.36200225353240967,low_morgan_lt_0.15,0.15
CGP-Align,1856,10,0.4,182,144,89,0.047952586206896554,9.806034482758621,5.093406593406593,0.4711547940969467,low_morgan_lt_0.15,0.15
RDKit2D,1856,10,0.4,44,37,38,0.020474137931034482,2.3706896551724137,5.590909090909091,0.4514610916376114,low_morgan_lt_0.15,0.15
NYAN,1856,10,0.4,57,47,49,0.026400862068965518,3.0711206896551726,5.245614035087719,0.4531497061252594,low_morgan_lt_0.15,0.15
Morgan,1856,10,0.4,33,24,28,0.015086206896551725,1.7780172413793105,6.454545454545454,0.4446864128112793,low_morgan_lt_0.15,0.15
AtomPair,1856,10,0.4,40,31,34,0.018318965517241378,2.155172413793103,6.35,0.4445660412311554,low_morgan_lt_0.15,0.15
Avalon,1856,10,0.4,56,39,42,0.022629310344827586,3.0172413793103448,5.517857142857143,0.44485732913017273,low_morgan_lt_0.15,0.15
Random,1856,10,0.4,31,30,28,0.015086206896551725,1.6702586206896552,4.935483870967742,0.4621826410293579,low_morgan_lt_0.15,0.15
CGP-Align,1856,50,0.4,595,423,161,0.08674568965517242,6.411637931034482,20.726050420168068,0.4547354578971863,low_morgan_lt_0.15,0.15
RDKit2D,1856,50,0.4,188,154,98,0.052801724137931036,2.025862068965517,25.627659574468087,0.45233553647994995,low_morgan_lt_0.15,0.15
NYAN,1856,50,0.4,232,168,120,0.06465517241379311,2.5,24.155172413793103,0.45730698108673096,low_morgan_lt_0.15,0.15
Morgan,1856,50,0.4,182,109,106,0.057112068965517244,1.961206896551724,24.78021978021978,0.4532136023044586,low_morgan_lt_0.15,0.15
AtomPair,1856,50,0.4,196,143,108,0.05818965517241379,2.112068965517241,25.637755102040817,0.44991709291934967,low_morgan_lt_0.15,0.15
Avalon,1856,50,0.4,209,147,108,0.05818965517241379,2.2521551724137927,22.880382775119617,0.4406386911869049,low_morgan_lt_0.15,0.15
Random,1856,50,0.4,106,105,72,0.03879310344827586,1.1422413793103448,23.50943396226415,0.44391946494579315,low_morgan_lt_0.15,0.15
CGP-Align,1856,100,0.4,998,674,182,0.0980603448275862,5.377155172413793,41.79058116232465,0.45013296604156494,low_morgan_lt_0.15,0.15
RDKit2D,1856,100,0.4,362,263,131,0.07058189655172414,1.9504310344827585,49.68508287292818,0.4507833421230316,low_morgan_lt_0.15,0.15
NYAN,1856,100,0.4,403,277,148,0.07974137931034483,2.1713362068965516,46.01985111662531,0.45306265354156494,low_morgan_lt_0.15,0.15
Morgan,1856,100,0.4,340,208,141,0.07596982758620689,1.831896551724138,48.241176470588236,0.4512026011943817,low_morgan_lt_0.15,0.15
AtomPair,1856,100,0.4,398,274,160,0.08620689655172414,2.144396551724138,50.69597989949749,0.44991709291934967,low_morgan_lt_0.15,0.15
