low_tanimoto,corr_threshold,topk,baseline,directed_hits_delta,directed_hits_relative,unique_pair_hits_delta,unique_pair_hits_relative,query_hit_rate_delta,yield_delta_per_1000,cgp_only_unique_pairs,baseline_only_unique_pairs,overlap_unique_pairs
0.25,0.25,50,Morgan,1778,2.2609929078014184,1452,2.6169265033407574,0.019935344827586188,19.15948275862069,1918,466,432
0.25,0.25,50,AtomPair,1600,2.0075566750629723,1238,2.1133093525179856,0.017241379310344834,17.241379310344833,1817,579,533
0.25,0.25,50,Avalon,1717,2.1672331747110807,1375,2.41025641025641,0.017241379310344834,18.502155172413794,1973,598,377
0.25,0.25,100,RDKit2D,2786,1.9643475250951887,2039,2.0435005117707266,0.012931034482758619,15.010775862068966,2762,723,1231
0.25,0.25,100,NYAN,2776,1.9575715764056572,2015,2.0187057633973713,0.007543103448275856,14.956896551724137,2838,823,1155
0.25,0.25,100,Morgan,3224,2.3153814769481844,2480,2.639127561136814,0.016702586206896547,17.370689655172413,3081,601,912
0.25,0.25,100,AtomPair,2641,1.8704680290046143,1951,1.955435847208619,0.007004310344827569,14.229525862068964,2789,838,1204
0.25,0.25,100,Avalon,2851,2.009560906515581,2103,2.1126984126984127,0.019935344827586216,15.360991379310345,2996,893,997
0.25,0.3,10,RDKit2D,320,2.306122448979592,232,2.1717171717171717,0.039331896551724144,17.241379310344826,365,133,65
0.25,0.3,10,NYAN,329,2.3940677966101696,245,2.324324324324324,0.043642241379310345,17.726293103448278,375,130,55
0.25,0.3,10,Morgan,325,2.3541666666666665,269,2.670807453416149,0.039331896551724144,17.510775862068968,380,111,50
0.25,0.3,10,AtomPair,348,2.6036866359447006,264,2.5903614457831323,0.04094827586206898,18.75,385,121,45
0.25,0.3,10,Avalon,333,2.435344827586207,265,2.606060606060606,0.04094827586206898,17.941810344827587,388,123,42
0.25,0.3,50,RDKit2D,1086,2.069950738916256,812,2.1123287671232878,0.016702586206896547,11.702586206896552,1146,334,396
0.25,0.3,50,NYAN,1163,2.239872068230277,860,2.2609970674486806,0.017241379310344807,12.532327586206897,1184,324,358
