setting,baseline,metric,direction,n_queries,mean_delta,ci95_low,ci95_high,paired_win_rate,wilcoxon_greater_p
low_morgan_lt_0.20,AtomPair,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.027640086206896553,0.02208917025862069,0.03324488146551723,0.3011853448275862,2.757022518377641e-20
low_morgan_lt_0.20,AtomPair,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.043609697756445624,0.03667165527626773,0.05031223080441669,0.6373922413793104,1.099501653635489e-37
low_morgan_lt_0.20,Avalon,top50_corr,cgp_minus_baseline,1856,0.013084144790531917,0.011558233770373107,0.014742654656827288,0.6433189655172413,5.731729834711089e-56
low_morgan_lt_0.20,Avalon,ndcg50,cgp_minus_baseline,1856,0.04323223652150854,0.038538358977210585,0.0480755299764261,0.6449353448275862,7.170806925816921e-57
low_morgan_lt_0.20,Avalon,retention50,cgp_minus_baseline,1856,0.05873059219193425,0.05230267168676609,0.06513962911920503,0.6433189655172413,1.6338336770119062e-55
low_morgan_lt_0.20,Avalon,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.03125,0.02548491379310345,0.03690867456896551,0.3141163793103448,5.051084732406341e-24
low_morgan_lt_0.20,Avalon,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.05280449091589281,0.04574258797019159,0.060043361827704284,0.6578663793103449,2.2000961842801094e-51
low_morgan_lt_0.20,Morgan,top50_corr,cgp_minus_baseline,1856,0.015167828796539233,0.013561012818990926,0.016862805736903658,0.65625,2.5660560471221956e-65
low_morgan_lt_0.20,Morgan,ndcg50,cgp_minus_baseline,1856,0.04743529937880307,0.042757143272462064,0.0525119423779202,0.6427801724137931,1.0567400576256863e-60
low_morgan_lt_0.20,Morgan,retention50,cgp_minus_baseline,1856,0.06696361284481409,0.06047116677371125,0.07351905448982869,0.65625,6.536250355655883e-66
low_morgan_lt_0.20,Morgan,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.0328125,0.02699353448275862,0.0384698275862069,0.3114224137931034,2.0767866320105453e-27
low_morgan_lt_0.20,Morgan,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.058135085270783794,0.0508890474184639,0.06483441027857202,0.6686422413793104,3.3751978504873837e-57
low_morgan_lt_0.20,NYAN,top50_corr,cgp_minus_baseline,1856,0.010763066158584387,0.009288847568776144,0.01231215867189332,0.6282327586206896,7.10424739660155e-42
low_morgan_lt_0.20,NYAN,ndcg50,cgp_minus_baseline,1856,0.03371985479947353,0.029055436575325357,0.037969368043278905,0.6056034482758621,1.154319589087291e-36
low_morgan_lt_0.20,NYAN,retention50,cgp_minus_baseline,1856,0.04701718206408989,0.04112925026250265,0.05311209526937862,0.6282327586206896,9.469300299501116e-42
low_morgan_lt_0.20,NYAN,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.023545258620689655,0.017994342672413798,0.028717672413793104,0.2855603448275862,1.3376588508510112e-14
low_morgan_lt_0.20,NYAN,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.03674102960617178,0.030384206491580707,0.042964504030319525,0.6120689655172413,5.3451406820055605e-30
low_morgan_lt_0.20,RDKit2D,top50_corr,cgp_minus_baseline,1856,0.011605874459659712,0.010050464913084497,0.01322299885677861,0.6029094827586207,2.4005628815751643e-37
low_morgan_lt_0.20,RDKit2D,ndcg50,cgp_minus_baseline,1856,0.03468503739180404,0.029937755348661797,0.03944294228679987,0.5964439655172413,9.457710368897076e-34
low_morgan_lt_0.20,RDKit2D,retention50,cgp_minus_baseline,1856,0.047347679782222166,0.04121101111497807,0.05359755993219361,0.6029094827586207,3.0918896471577535e-36
low_morgan_lt_0.20,RDKit2D,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.025484913793103445,0.0201495150862069,0.031034482758620686,0.2860991379310345,8.618832881150102e-17
low_morgan_lt_0.20,RDKit2D,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.036053021803702914,0.029934706245832048,0.042382842941455695,0.6120689655172413,3.0304744973615796e-28
low_morgan_lt_0.25,AtomPair,top50_corr,cgp_minus_baseline,1856,0.010963965066144058,0.009552215022439012,0.012490952305503036,0.6223060344827587,1.6639131231881897e-43
low_morgan_lt_0.25,AtomPair,ndcg50,cgp_minus_baseline,1856,0.03500209778421998,0.030615037648173627,0.03945194871808697,0.625,6.44790142041181e-43
low_morgan_lt_0.25,AtomPair,retention50,cgp_minus_baseline,1856,0.04660759516326181,0.04072591042721013,0.05252175001176096,0.6223060344827587,9.492930094522849e-43
low_morgan_lt_0.25,AtomPair,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.027909482758620693,0.022574084051724137,0.03329741379310345,0.30064655172413796,1.733241079070109e-21
low_morgan_lt_0.25,AtomPair,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.04256775564237996,0.035641935156898556,0.04936159456155731,0.6320043103448276,1.243399543887594e-36
low_morgan_lt_0.25,Avalon,top50_corr,cgp_minus_baseline,1856,0.012825301468517007,0.011257428239062723,0.014462469867918638,0.6282327586206896,1.6670789476384734e-51
low_morgan_lt_0.25,Avalon,ndcg50,cgp_minus_baseline,1856,0.040051728448182985,0.0354521540262437,0.044865521293170084,0.6298491379310345,5.0915375974991784e-49
low_morgan_lt_0.25,Avalon,retention50,cgp_minus_baseline,1856,0.055986543171737596,0.049726651536144,0.062442347591048525,0.6282327586206896,4.5679461748768646e-51
low_morgan_lt_0.25,Avalon,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.028125,0.02241109913793103,0.0341608297413793,0.3098060344827586,4.549939194718531e-19
