inchikey,prism_name,broad_id,prism_columns,prism_screens,prism_targets,prism_moa,prism_smiles,_cgp_row,compound_id,canonical_smiles,has_structure,has_compound_profile,num_nonmissing_prism_cell_lines
HQFWVSGBVLEQGA-UHFFFAOYSA-N,butacaine,BRD-K99622919-001-23-0,1,HTS,,local anesthetic,CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1,31591,HQFWVSGBVLEQGA-UHFFFAOYSA-N,CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1,True,True,550
HQGWKNGAKBPTBX-UHFFFAOYSA-N,RX-821002,BRD-A65597028-003-07-3,1,HTS,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C",adrenergic receptor antagonist,COC1(C2=NCCN2)COc2ccccc2O1,31594,HQGWKNGAKBPTBX-UHFFFAOYSA-N,COC1(C2=NCCN2)COc2ccccc2O1,True,True,563
HQVZOORKDNCGCK-UHFFFAOYSA-N,clofoctol,BRD-K02900412-001-11-3,1,HTS,,protein synthesis inhibitor,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1,31708,HQVZOORKDNCGCK-UHFFFAOYSA-N,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1,True,True,565
HRJWTAWVFDCTGO-UHFFFAOYSA-N,LY2090314,BRD-K78055238-001-01-8,1,HTS,GSK3B,glycogen synthase kinase inhibitor,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2,31816,HRJWTAWVFDCTGO-UHFFFAOYSA-N,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2,True,True,563
HRNLUBSXIHFDHP-UHFFFAOYSA-N,mocetinostat,BRD-K16485616-001-08-9,1,HTS,"HDAC1, HDAC11, HDAC2, HDAC3",HDAC inhibitor,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1,31841,HRNLUBSXIHFDHP-UHFFFAOYSA-N,Nc1ccccc1NC(=O)c1ccc(CN=c2nc(-c3cccnc3)cc[nH]2)cc1,True,True,565
HRRBJVNMSRJFHQ-UHFFFAOYSA-N,naftopidil,BRD-A01787639-003-16-9,1,HTS,ADRA1A,adrenergic receptor antagonist,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,31866,HRRBJVNMSRJFHQ-UHFFFAOYSA-N,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,True,True,565
HRSANNODOVBCST-UHFFFAOYSA-N,pronethalol,BRD-A87715314-003-14-4,1,HTS,,adrenergic receptor antagonist,CC(C)NCC(O)c1ccc2ccccc2c1,31876,HRSANNODOVBCST-UHFFFAOYSA-N,CC(C)NCC(O)c1ccc2ccccc2c1,True,True,564
HSHNITRMYYLLCV-UHFFFAOYSA-N,hymecromone,BRD-K46424862-001-14-1,1,HTS,"MAOA, MAOB",monoamine oxidase inhibitor,Cc1cc(=O)oc2cc(O)ccc12,31986,HSHNITRMYYLLCV-UHFFFAOYSA-N,Cc1cc(=O)oc2cc(O)ccc12,True,True,563
HSJFYRYGGKLQBT-UHFFFAOYSA-N,guacetisal,BRD-K00739965-001-01-9,1,MTS004,,immunosuppressant,COc1ccccc1OC(=O)c1ccccc1OC(C)=O,32001,HSJFYRYGGKLQBT-UHFFFAOYSA-N,COc1ccccc1OC(=O)c1ccccc1OC(C)=O,True,True,547
HSMNQINEKMPTIC-UHFFFAOYSA-N,4-aminohippuric-acid,BRD-K65544384-001-15-8,1,HTS,SLC22A6,,Nc1ccc(C(=O)NCC(=O)O)cc1,32023,HSMNQINEKMPTIC-UHFFFAOYSA-N,Nc1ccc(C(=O)NCC(=O)O)cc1,True,True,569
HSMPDPBYAYSOBC-UHFFFAOYSA-N,khellin,BRD-K80353807-001-25-3,1,MTS004,,vasodilator,COc1c2occc2c(OC)c2c(=O)cc(C)oc12,32026,HSMPDPBYAYSOBC-UHFFFAOYSA-N,COc1c2occc2c(OC)c2c(=O)cc(C)oc12,True,True,548
HSRJKNPTNIJEKV-UHFFFAOYSA-N,guaifenesin,BRD-A90515964-001-16-5,1,HTS,,expectorant,COc1ccccc1OCC(O)CO,32063,HSRJKNPTNIJEKV-UHFFFAOYSA-N,COc1ccccc1OCC(O)CO,True,True,569
HSWPZIDYAHLZDD-UHFFFAOYSA-N,atipamezole,BRD-K39252998-003-01-5,1,HTS,,adrenergic receptor antagonist,CCC1(c2cnc[nH]2)Cc2ccccc2C1,32105,HSWPZIDYAHLZDD-UHFFFAOYSA-N,CCC1(c2c[nH]cn2)Cc2ccccc2C1,True,True,557
HTKFORQRBXIQHD-UHFFFAOYSA-N,allylthiourea,BRD-K89634775-001-09-9,1,HTS,,nitrification inhibitor,C=CCN=C(N)S,32195,HTKFORQRBXIQHD-UHFFFAOYSA-N,C=CCNC(N)=S,True,True,570
