setting,active_threshold,topk,baseline,metric,direction,n_queries,mean_delta,ci95_low,ci95_high,paired_win_rate,wilcoxon_greater_p
low_morgan_lt_0.30,-2.0,50,Avalon,top_median_absdiff,baseline_minus_cgp,88,0.6126826058667079,0.49952180213675257,0.7301230494371421,0.875,4.7407478307862734e-14
low_morgan_lt_0.30,-2.0,50,Morgan,top_active_fraction,cgp_minus_baseline,88,0.17181818181818181,0.1443125,0.1997727272727273,0.875,8.239031919923576e-15
low_morgan_lt_0.30,-2.0,50,Morgan,active_lift,cgp_minus_baseline,88,3.687548402234434,3.1010027376107288,4.29052666521114,0.875,9.109958473542553e-15
low_morgan_lt_0.30,-2.0,50,Morgan,top_mean_absdiff,baseline_minus_cgp,88,0.5590437301285353,0.46783396717739945,0.6549142734408054,0.9318181818181818,2.591103914469773e-15
low_morgan_lt_0.30,-2.0,50,Morgan,top_median_absdiff,baseline_minus_cgp,88,0.6145451968265909,0.5112690654928718,0.7272274861337543,0.9204545454545454,1.9878000785177174e-15
low_morgan_lt_0.30,-2.0,50,NYAN,top_active_fraction,cgp_minus_baseline,88,0.1631818181818182,0.13863636363636364,0.1890909090909091,0.8636363636363636,5.507264776180621e-15
low_morgan_lt_0.30,-2.0,50,NYAN,active_lift,cgp_minus_baseline,88,3.508624093295032,2.9574242127318118,4.04106045378379,0.8636363636363636,6.674253166825055e-15
low_morgan_lt_0.30,-2.0,50,NYAN,top_mean_absdiff,baseline_minus_cgp,88,0.5285237840092105,0.44496318588834327,0.6216063249468725,0.9090909090909091,3.9767753980970134e-15
low_morgan_lt_0.30,-2.0,50,NYAN,top_median_absdiff,baseline_minus_cgp,88,0.5930668873902918,0.4913725068413524,0.6988857524177381,0.8863636363636364,3.723831563741602e-15
low_morgan_lt_0.30,-2.0,50,RDKit2D,top_active_fraction,cgp_minus_baseline,88,0.1534090909090909,0.12431818181818181,0.18409090909090906,0.8295454545454546,4.8578741518930026e-14
