low_tanimoto,active_threshold,topk,baseline,directed_active_hits_delta,directed_active_hits_relative,unique_active_pairs_delta,unique_active_pairs_relative,query_hit_rate_delta,yield_delta_per_1000,cgp_only_unique_pairs,baseline_only_unique_pairs,overlap_unique_pairs
0.2,-1.5,10,RDKit2D,228,2.4522292993630574,160,2.1267605633802815,0.14876033057851246,188.42975206611573,273,113,29
0.2,-1.5,10,NYAN,226,2.4213836477987423,169,2.2706766917293235,0.18181818181818188,186.77685950413223,280,111,22
0.2,-1.5,10,Morgan,258,3.031496062992126,220,3.682926829268293,0.1900826446280992,213.22314049586777,290,70,12
0.2,-1.5,10,AtomPair,212,2.2254335260115607,171,2.3053435114503817,0.09917355371900827,175.20661157024793,280,109,22
0.2,-1.5,10,Avalon,254,2.9389312977099236,205,3.11340206185567,0.1900826446280992,209.91735537190084,293,88,9
0.2,-1.5,50,RDKit2D,1013,2.3782312925170066,742,2.304042179261863,0.024793388429752095,167.43801652892563,1050,308,261
0.2,-1.5,50,NYAN,1020,2.401098901098901,783,2.4829545454545454,0.0,168.59504132231405,1088,305,223
0.2,-1.5,50,Morgan,1220,3.3106060606060606,976,3.9134328358208954,-0.04132231404958675,201.65289256198346,1171,195,140
0.2,-1.5,50,AtomPair,965,2.232439335887612,737,2.28397212543554,-0.04958677685950419,159.50413223140495,1047,310,264
0.2,-1.5,50,Avalon,1085,2.636500754147813,849,2.8376623376623376,-0.016528925619834767,179.3388429752066,1141,292,170
0.2,-1.5,100,RDKit2D,1665,2.146694214876033,1210,2.181640625,0.0,137.60330578512395,1637,427,597
0.2,-1.5,100,NYAN,1724,2.237616654702082,1288,2.361522198731501,-0.024793388429752095,142.4793388429752,1697,409,537
0.2,-1.5,100,Morgan,2098,3.058881256133464,1577,3.400304414003044,-0.024793388429752095,173.3884297520661,1853,276,381
0.2,-1.5,100,AtomPair,1651,2.126193724420191,1224,2.211881188118812,-0.024793388429752095,136.44628099173553,1663,439,571
0.2,-1.5,100,Avalon,1806,2.377574370709382,1327,2.4630650496141127,-0.016528925619834767,149.25619834710744,1754,427,480
0.2,-2.0,10,RDKit2D,169,2.9204545454545454,119,2.4875,0.2954545454545454,192.04545454545456,179,60,20
0.2,-2.0,10,NYAN,159,2.622448979591837,119,2.4875,0.2727272727272727,180.6818181818182,188,69,11
0.2,-2.0,10,Morgan,186,3.619718309859155,153,4.326086956521739,0.3068181818181819,211.36363636363637,193,40,6
0.2,-2.0,10,AtomPair,181,3.3815789473684212,140,3.3728813559322033,0.23863636363636365,205.6818181818182,188,48,11
0.2,-2.0,10,Avalon,190,3.8358208955223883,150,4.061224489795919,0.375,215.90909090909093,192,42,7
0.2,-2.0,50,RDKit2D,742,2.917312661498708,534,2.7565789473684212,0.09090909090909094,168.63636363636363,689,155,149
0.2,-2.0,50,NYAN,715,2.7270531400966185,541,2.8215488215488214,0.0,162.5,704,163,134
0.2,-2.0,50,Morgan,844,3.9614035087719297,659,4.681564245810056,0.0,191.81818181818178,758,99,80
0.2,-2.0,50,AtomPair,746,2.947780678851175,551,2.9198606271777003,0.0,169.5454545454545,680,129,158
