method,num_queries,topk,corr_threshold,directed_hits,unique_pair_hits,queries_with_hit,query_hit_rate,hit_yield_per_1000_ranked,mean_hit_rank,median_hit_corr,setting,low_tanimoto,section,query_idx,CGP-Align,RDKit2D,cgp_better,same,n_query,num_candidates,random_expected_corr,mean_functional_neighbor_rank_percentile,best_functional_neighbor_rank_percentile,top10_corr,top10_poscorr,ndcg10,retention10,functional_top10_in_top10_rate,oracle_top10_corr,top50_corr,top50_poscorr,ndcg50,retention50,functional_top10_in_top50_rate,oracle_top50_corr,top100_corr,top100_poscorr,ndcg100,retention100,functional_top10_in_top100_rate,oracle_top100_corr,num_pairs,mean_prism_response_corr,median_shared_top50_genes,mean_shared_top50_genes,mean_shared_gene_jaccard,mean_shared_gene_neglog10p,fraction_with_category_hit,mean_unique_categories,fraction_with_known_target_hit,retrieved_idx,rank,method_score,prism_response_corr,top_gene_k,shared_top_gene_count,shared_top_gene_jaccard,shared_gene_hypergeom_p,shared_gene_neglog10p,num_category_hits,num_unique_categories,dominant_categories,query_name,retrieved_name,query_moa,retrieved_moa,query_targets,retrieved_targets,known_target_hits_top_gene,known_target_hits_shared_gene,shared_gene_symbols_top20,morgan_tanimoto,query_inchikey,retrieved_inchikey
CGP-Align,1856.0,100.0,0.3,2898.0,1981.0,297.0,0.1600215517241379,15.614224137931034,44.43685300207039,0.3669779598712921,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDKit2D,1856.0,100.0,0.3,1165.0,833.0,258.0,0.1390086206896551,6.276939655172415,49.67982832618026,0.3552015721797943,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYAN,1856.0,100.0,0.3,1274.0,890.0,276.0,0.1487068965517241,6.864224137931034,48.5894819466248,0.3585789948701858,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,1856.0,100.0,0.3,1004.0,606.0,254.0,0.136853448275862,5.4094827586206895,49.47211155378486,0.3633385598659515,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtomPair,1856.0,100.0,0.3,1371.0,936.0,287.0,0.1546336206896551,7.386853448275862,49.09919766593728,0.3569687306880951,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,1856.0,100.0,0.3,1347.0,957.0,269.0,0.1449353448275862,7.257543103448276,50.73645137342242,0.3649187088012695,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random,1856.0,100.0,0.3,716.0,691.0,210.0,0.1131465517241379,3.8577586206896552,49.53770949720671,0.3620022535324096,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGP-Align,1856.0,10.0,0.4,182.0,144.0,89.0,0.0479525862068965,9.80603448275862,5.093406593406593,0.4711547940969467,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDKit2D,1856.0,10.0,0.4,44.0,37.0,38.0,0.0204741379310344,2.3706896551724137,5.590909090909091,0.4514610916376114,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYAN,1856.0,10.0,0.4,57.0,47.0,49.0,0.0264008620689655,3.0711206896551726,5.245614035087719,0.4531497061252594,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,1856.0,10.0,0.4,33.0,24.0,28.0,0.0150862068965517,1.7780172413793105,6.454545454545454,0.4446864128112793,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtomPair,1856.0,10.0,0.4,40.0,31.0,34.0,0.0183189655172413,2.155172413793103,6.35,0.4445660412311554,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,1856.0,10.0,0.4,56.0,39.0,42.0,0.0226293103448275,3.0172413793103448,5.517857142857143,0.4448573291301727,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random,1856.0,10.0,0.4,31.0,30.0,28.0,0.0150862068965517,1.6702586206896552,4.935483870967742,0.4621826410293579,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGP-Align,1856.0,50.0,0.4,595.0,423.0,161.0,0.0867456896551724,6.411637931034482,20.726050420168068,0.4547354578971863,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDKit2D,1856.0,50.0,0.4,188.0,154.0,98.0,0.052801724137931,2.025862068965517,25.627659574468087,0.4523355364799499,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
