entity_index,entity_id,pair_kind,modality,display_group,gene_symbol,perturbation_modality,label,stage_key,stage_label,pca1,pca2
9886,KCNH7|orf|JCP2022_904217,gene,gene_embedding,gene_embedding::orf,KCNH7,orf,KCNH7::orf,branch_pretrained,Before joint training,-0.7179495,-0.4666702
9903,KCNJ13|crispr|JCP2022_803593,gene,gene_embedding,gene_embedding::crispr,KCNJ13,crispr,KCNJ13::crispr,branch_pretrained,Before joint training,-0.5673996,0.4065092
9914,KCNJ4|crispr|JCP2022_803600,gene,gene_embedding,gene_embedding::crispr,KCNJ4,crispr,KCNJ4::crispr,branch_pretrained,Before joint training,-0.5700457,0.41198236
9922,KCNK1|orf|JCP2022_906065,gene,gene_embedding,gene_embedding::orf,KCNK1,orf,KCNK1::orf,branch_pretrained,Before joint training,-0.6556325,-0.39706048
9958,KCNQ2|crispr|JCP2022_803626,gene,gene_embedding,gene_embedding::crispr,KCNQ2,crispr,KCNQ2::crispr,branch_pretrained,Before joint training,-0.5580965,0.43799832
9959,KCNQ2|orf|JCP2022_900845,gene,gene_embedding,gene_embedding::orf,KCNQ2,orf,KCNQ2::orf,branch_pretrained,Before joint training,-0.68351054,-0.49750295
9993,KCTD4|orf|JCP2022_909385,gene,gene_embedding,gene_embedding::orf,KCTD4,orf,KCTD4::orf,branch_pretrained,Before joint training,-0.6727487,-0.44235662
9994,KCTD5|orf|JCP2022_907830,gene,gene_embedding,gene_embedding::orf,KCTD5,orf,KCTD5::orf,branch_pretrained,Before joint training,-0.6797451,-0.50030327
10009,KDM1A|crispr|JCP2022_803640,gene,gene_embedding,gene_embedding::crispr,KDM1A,crispr,KDM1A::crispr,branch_pretrained,Before joint training,-0.5776773,0.38108808
10010,KDM1A|orf|JCP2022_913133,gene,gene_embedding,gene_embedding::orf,KDM1A,orf,KDM1A::orf,branch_pretrained,Before joint training,-0.7027122,-0.4890246
10013,KDM2B|crispr|JCP2022_803643,gene,gene_embedding,gene_embedding::crispr,KDM2B,crispr,KDM2B::crispr,branch_pretrained,Before joint training,-0.5409703,0.3672729
10020,KDM5D|crispr|JCP2022_803648,gene,gene_embedding,gene_embedding::crispr,KDM5D,crispr,KDM5D::crispr,branch_pretrained,Before joint training,-0.57228446,0.36868536
10023,KDR|crispr|JCP2022_803650,gene,gene_embedding,gene_embedding::crispr,KDR,crispr,KDR::crispr,branch_pretrained,Before joint training,-0.57492644,0.38829356
10024,KDR|orf|JCP2022_913711,gene,gene_embedding,gene_embedding::orf,KDR,orf,KDR::orf,branch_pretrained,Before joint training,-0.710875,-0.48989698
10034,KHDRBS1|crispr|JCP2022_803654,gene,gene_embedding,gene_embedding::crispr,KHDRBS1,crispr,KHDRBS1::crispr,branch_pretrained,Before joint training,-0.56559175,0.38805166
10053,KIAA1143|orf|JCP2022_908153,gene,gene_embedding,gene_embedding::orf,KIAA1143,orf,KIAA1143::orf,branch_pretrained,Before joint training,-0.66985655,-0.4547734
10130,KIR2DL4|orf|JCP2022_906070,gene,gene_embedding,gene_embedding::orf,KIR2DL4,orf,KIR2DL4::orf,branch_pretrained,Before joint training,-0.6543409,-0.37251177
10144,KISS1R|crispr|JCP2022_803694,gene,gene_embedding,gene_embedding::crispr,KISS1R,crispr,KISS1R::crispr,branch_pretrained,Before joint training,-0.4774503,0.45435426
10152,KLC1|crispr|JCP2022_803699,gene,gene_embedding,gene_embedding::crispr,KLC1,crispr,KLC1::crispr,branch_pretrained,Before joint training,-0.56481016,0.37690663
10153,KLC1|orf|JCP2022_900853,gene,gene_embedding,gene_embedding::orf,KLC1,orf,KLC1::orf,branch_pretrained,Before joint training,-0.68127924,-0.49241045
10170,KLF17|crispr|JCP2022_803709,gene,gene_embedding,gene_embedding::crispr,KLF17,crispr,KLF17::crispr,branch_pretrained,Before joint training,-0.5351113,0.38450044
10206,KLHL20|orf|JCP2022_911053,gene,gene_embedding,gene_embedding::orf,KLHL20,orf,KLHL20::orf,branch_pretrained,Before joint training,-0.6913966,-0.49086466
10211,KLHL28|orf|JCP2022_914849,gene,gene_embedding,gene_embedding::orf,KLHL28,orf,KLHL28::orf,branch_pretrained,Before joint training,-0.69433457,-0.47269967
10229,KLK11|orf|JCP2022_902430,gene,gene_embedding,gene_embedding::orf,KLK11,orf,KLK11::orf,branch_pretrained,Before joint training,-0.65725565,-0.4666144
10254,KLKB1|crispr|JCP2022_803732,gene,gene_embedding,gene_embedding::crispr,KLKB1,crispr,KLKB1::crispr,branch_pretrained,Before joint training,-0.57278764,0.40380433
10256,KLKB1|orf|JCP2022_906075,gene,gene_embedding,gene_embedding::orf,KLKB1,orf,KLKB1::orf,branch_pretrained,Before joint training,-0.6920141,-0.4783372
10265,KLRG1|crispr|JCP2022_803735,gene,gene_embedding,gene_embedding::crispr,KLRG1,crispr,KLRG1::crispr,branch_pretrained,Before joint training,-0.5817491,0.3847121
10288,KPNA1|crispr|JCP2022_803747,gene,gene_embedding,gene_embedding::crispr,KPNA1,crispr,KPNA1::crispr,branch_pretrained,Before joint training,-0.5564069,0.35682064
10289,KPNA1|orf|JCP2022_906080,gene,gene_embedding,gene_embedding::orf,KPNA1,orf,KPNA1::orf,branch_pretrained,Before joint training,-0.7033222,-0.49557564
10308,KRCC1|orf|JCP2022_903081,gene,gene_embedding,gene_embedding::orf,KRCC1,orf,KRCC1::orf,branch_pretrained,Before joint training,-0.6701383,-0.41717395
10325,KRT31|orf|JCP2022_900861,gene,gene_embedding,gene_embedding::orf,KRT31,orf,KRT31::orf,branch_pretrained,Before joint training,-0.63232166,-0.4676521
10379,KRTAP8-1|orf|JCP2022_905079,gene,gene_embedding,gene_embedding::orf,KRTAP8-1,orf,KRTAP8-1::orf,branch_pretrained,Before joint training,-0.3017086,-0.06776081
10399,KYAT3|crispr|JCP2022_803761,gene,gene_embedding,gene_embedding::crispr,KYAT3,crispr,KYAT3::crispr,branch_pretrained,Before joint training,-0.5770192,0.35687292
10423,LAIR2|orf|JCP2022_900865,gene,gene_embedding,gene_embedding::orf,LAIR2,orf,LAIR2::orf,branch_pretrained,Before joint training,-0.6130394,-0.38485232
10446,LAPTM4A|orf|JCP2022_906993,gene,gene_embedding,gene_embedding::orf,LAPTM4A,orf,LAPTM4A::orf,branch_pretrained,Before joint training,-0.54391646,-0.3749046
