compound_id,method,hits_at_50,best_positive_rank
USOBEYLOZCUZJV-UHFFFAOYSA-N,Structure feature baseline,0,717
RDTBNBLHBAOFJW-UHFFFAOYSA-N,Structure feature baseline,0,199
HHTDYIKEIIFWLB-UHFFFAOYSA-N,Structure feature baseline,1,17
IOOHUEWHNXJWMJ-UHFFFAOYSA-N,Structure feature baseline,0,709
VHEMSWFSNODCPU-UHFFFAOYSA-N,Structure feature baseline,1,48
KLLSRYRLLWGHGV-UHFFFAOYSA-N,Structure feature baseline,0,2611
HWJLDXOOPOGXCA-UHFFFAOYSA-N,Structure feature baseline,0,325
PDHAOJSHSJQANO-UHFFFAOYSA-N,Structure feature baseline,1,7
PBPGQXFBHXYTTM-UHFFFAOYSA-N,Structure feature baseline,0,152
AOPZDJGORGWWGY-UHFFFAOYSA-N,Structure feature baseline,0,3873
FGDHIQMQGFYNDK-UHFFFAOYSA-N,Structure feature baseline,1,2
AKCFVSGJWUCCNL-UHFFFAOYSA-N,Structure feature baseline,0,125
BIRFLUATHCAWNK-UHFFFAOYSA-N,Structure feature baseline,0,149
MPRNWRNAVDWRQQ-UHFFFAOYSA-N,Structure feature baseline,0,857
UPJQFPBIFZYRLB-UHFFFAOYSA-N,Structure feature baseline,0,71
SHLAUMOMHWTBPW-UHFFFAOYSA-N,Structure feature baseline,0,673
IZLMUUXBONWCJN-UHFFFAOYSA-N,Structure feature baseline,0,570
HVSSHTCKCSEVJJ-UHFFFAOYSA-N,Structure feature baseline,0,1096
PMQQBHDRGLTTRM-UHFFFAOYSA-N,Structure feature baseline,0,505
APDNLUWXNJMOOT-UHFFFAOYSA-N,Structure feature baseline,0,1104
MNMBYGSLWJITRQ-UHFFFAOYSA-N,Structure feature baseline,0,294
YDJVUIZYVVFMTQ-UHFFFAOYSA-N,Structure feature baseline,0,751
XTDMKQFYUIZLCO-UHFFFAOYSA-N,Structure feature baseline,0,1484
LNYTZOWIGNTFKG-UHFFFAOYSA-N,Structure feature baseline,1,40
LBHLFASKRILFAS-UHFFFAOYSA-N,Structure feature baseline,0,1202
KIISCIGBPUVZBF-UHFFFAOYSA-N,Structure feature baseline,0,292
SXMVDLCNTVCKAJ-UHFFFAOYSA-N,Structure feature baseline,0,608
JFTDWHSPPLTHSM-UHFFFAOYSA-N,Structure feature baseline,0,291
ANEOSUJKSRGASF-UHFFFAOYSA-N,Structure feature baseline,0,767
LCFFREMLXLZNHE-UHFFFAOYSA-N,Structure feature baseline,0,744
QXPBMTMASAVULQ-UHFFFAOYSA-N,Structure feature baseline,0,1338
