stage_order,stage_key,stage_label,entity_index,entity_id,pair_kind,modality,display_group,gene_symbol,perturbation_modality,label,pca_scope,pca_panel,pca1,pca2,latent_dim1,latent_dim2
3,joint_aligned,After CGP-Align alignment,94507,VOOQGWNIYDJKLT-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VOOQGWNIYDJKLT-UHFFFAOYSA-N,shared,Shared latent,-0.12766644,-0.26478702,-0.12766644,-0.26478702
3,joint_aligned,After CGP-Align alignment,94553,VOWNPFPYOCDORU-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VOWNPFPYOCDORU-UHFFFAOYSA-N,shared,Shared latent,-0.027797192,0.19996873,-0.027797192,0.19996873
3,joint_aligned,After CGP-Align alignment,94664,VPKQZDQIXQRTNN-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VPKQZDQIXQRTNN-UHFFFAOYSA-N,shared,Shared latent,-0.2891805,0.29182756,-0.2891805,0.29182756
3,joint_aligned,After CGP-Align alignment,94677,VPMCAYSXBPYTGG-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VPMCAYSXBPYTGG-UHFFFAOYSA-N,shared,Shared latent,0.020745903,0.32287988,0.020745903,0.32287988
3,joint_aligned,After CGP-Align alignment,94799,VQFCWDRAGUGXCP-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VQFCWDRAGUGXCP-UHFFFAOYSA-N,shared,Shared latent,-0.25054944,-0.2740974,-0.25054944,-0.2740974
3,joint_aligned,After CGP-Align alignment,94803,VQFZCGOHESVSBX-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VQFZCGOHESVSBX-UHFFFAOYSA-N,shared,Shared latent,-0.014802843,0.096066624,-0.014802843,0.096066624
3,joint_aligned,After CGP-Align alignment,94969,VRFAUEBVNGPASD-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VRFAUEBVNGPASD-UHFFFAOYSA-N,shared,Shared latent,-0.12937573,-0.27421468,-0.12937573,-0.27421468
3,joint_aligned,After CGP-Align alignment,95151,VSFFAVKICNPBPW-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VSFFAVKICNPBPW-UHFFFAOYSA-N,shared,Shared latent,-0.32143545,-0.19152555,-0.32143545,-0.19152555
3,joint_aligned,After CGP-Align alignment,95191,VSLIUWLPFRVCDL-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VSLIUWLPFRVCDL-UHFFFAOYSA-N,shared,Shared latent,-0.23517868,0.011124797,-0.23517868,0.011124797
3,joint_aligned,After CGP-Align alignment,95234,VSRWZPFVHMDIPE-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VSRWZPFVHMDIPE-UHFFFAOYSA-N,shared,Shared latent,-0.24539632,-0.062623315,-0.24539632,-0.062623315
3,joint_aligned,After CGP-Align alignment,95403,VTOVMWISKAHWKA-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,VTOVMWISKAHWKA-UHFFFAOYSA-N,shared,Shared latent,-0.26507467,0.0673096,-0.26507467,0.0673096
