task,representation,display,model,fold,n_train,n_test,positive_train,positive_test,n_train_scaffolds,n_test_scaffolds,scaffold_overlap,auroc,auprc
Endocrine Disruption_SR-HSE,AtomPair2048,AtomPair,extratrees_scaffold,4,4989,1156,266,68,2419,802,0,0.736328125,0.2127484191910146
Endocrine Disruption_SR-HSE,Avalon1024,Avalon,extratrees_scaffold,0,6131,14,331,3,3208,13,0,0.7727272727272727,0.5873015873015872
Endocrine Disruption_SR-HSE,Avalon1024,Avalon,extratrees_scaffold,1,4876,1269,279,55,2416,805,0,0.7964505017223305,0.23006422076698507
Endocrine Disruption_SR-HSE,Avalon1024,Avalon,extratrees_scaffold,2,3620,2525,186,148,2414,807,0,0.7151715767092293,0.1713883985840754
Endocrine Disruption_SR-HSE,Avalon1024,Avalon,extratrees_scaffold,3,4964,1181,274,60,2427,794,0,0.7224947963128159,0.22070728547775398
Endocrine Disruption_SR-HSE,Avalon1024,Avalon,extratrees_scaffold,4,4989,1156,266,68,2419,802,0,0.7231022923875434,0.223107317804757
Endocrine Disruption_SR-MMP,CGP_sep_k32,CGP-Align,extratrees_scaffold,0,4453,1076,700,175,2227,729,0,0.8950879974631362,0.6880206710941484
Endocrine Disruption_SR-MMP,CGP_sep_k32,CGP-Align,extratrees_scaffold,1,4342,1187,657,218,2212,744,0,0.9058094507721002,0.7308309799148363
Endocrine Disruption_SR-MMP,CGP_sep_k32,CGP-Align,extratrees_scaffold,2,3345,2184,552,323,2214,742,0,0.8740091132468145,0.615364718951778
Endocrine Disruption_SR-MMP,CGP_sep_k32,CGP-Align,extratrees_scaffold,4,4448,1081,716,159,2216,740,0,0.8850291272732234,0.6027664730031819
Endocrine Disruption_SR-MMP,RDKit2D,RDKit2D,extratrees_scaffold,0,4453,1076,700,175,2227,729,0,0.8975646107499603,0.6736842900798733
Endocrine Disruption_SR-MMP,RDKit2D,RDKit2D,extratrees_scaffold,1,4342,1187,657,218,2212,744,0,0.9307216367957131,0.7796616880533483
Endocrine Disruption_SR-MMP,RDKit2D,RDKit2D,extratrees_scaffold,2,3345,2184,552,323,2214,742,0,0.8970617348441117,0.6532174707898384
Endocrine Disruption_SR-MMP,RDKit2D,RDKit2D,extratrees_scaffold,4,4448,1081,716,159,2216,740,0,0.8883170302459787,0.6350789813908855
Endocrine Disruption_SR-MMP,NYAN_latent,NYAN,extratrees_scaffold,0,4453,1076,700,175,2227,729,0,0.8853369272237196,0.6283536291424828
Endocrine Disruption_SR-MMP,NYAN_latent,NYAN,extratrees_scaffold,1,4342,1187,657,218,2212,744,0,0.9169814714876776,0.7267590795438313
