method,active_queries,topk,directed_active_hits,unique_active_pairs,query_hit_rate,top_active_fraction,candidate_active_rate,active_lift,top_mean_lfc,top_mean_absdiff,top_median_absdiff,hit_yield_per_1000_ranked,setting,low_tanimoto,active_threshold,num_active_compounds
NYAN,88,10,98,80,0.5909090909090909,0.11136363636363637,0.045655913334459064,2.484382061012484,-0.34810282769288853,2.7732096848999475,2.930690690290331,111.36363636363636,low_morgan_lt_0.20,0.2,-2.0,88
Morgan,88,10,71,46,0.5568181818181818,0.08068181818181817,0.045655913334459064,1.7756670770066278,-0.25562062763485965,2.8234365288629224,3.001013706235178,80.68181818181819,low_morgan_lt_0.20,0.2,-2.0,88
AtomPair,88,10,76,59,0.625,0.08636363636363636,0.045655913334459064,1.935663205202542,-0.3402352069105043,2.744663148963644,2.8707357992309634,86.36363636363636,low_morgan_lt_0.20,0.2,-2.0,88
Avalon,88,10,67,49,0.48863636363636365,0.07613636363636363,0.045655913334459064,1.6861259847281664,-0.23194423749717483,2.84245856947845,2.962515365308553,76.13636363636364,low_morgan_lt_0.20,0.2,-2.0,88
Random,88,10,47,47,0.4090909090909091,0.05340909090909091,0.045655913334459064,1.17765684323846,-0.11982142092026402,2.936910253425793,3.077989414319084,53.40909090909091,low_morgan_lt_0.20,0.2,-2.0,88
CGP-Align,88,50,1129,838,0.9545454545454546,0.2565909090909091,0.045655913334459064,5.652074342149089,-0.9690739650875251,2.2597850359854452,2.372076384308126,256.59090909090907,low_morgan_lt_0.20,0.2,-2.0,88
RDKit2D,88,50,387,304,0.8636363636363636,0.08795454545454545,0.045655913334459064,1.9647416066310648,-0.30476067620723785,2.7875756980972737,2.9726665726643247,87.95454545454545,low_morgan_lt_0.20,0.2,-2.0,88
NYAN,88,50,414,297,0.9545454545454546,0.0940909090909091,0.045655913334459064,2.087762899340707,-0.3136161892208276,2.7819088583415112,2.9490923393439683,94.09090909090908,low_morgan_lt_0.20,0.2,-2.0,88
Morgan,88,50,285,179,0.9545454545454546,0.06477272727272729,0.045655913334459064,1.4322618518612882,-0.18373190118768515,2.885588115803323,3.0438254196329084,64.77272727272728,low_morgan_lt_0.20,0.2,-2.0,88
AtomPair,88,50,383,287,0.9545454545454546,0.08704545454545455,0.045655913334459064,1.9344815214952071,-0.32339693736525743,2.759278641445695,2.9257088043893664,87.04545454545455,low_morgan_lt_0.20,0.2,-2.0,88
Avalon,88,50,402,275,0.9318181818181818,0.09136363636363637,0.045655913334459064,2.01539725627153,-0.26351246414056567,2.830679341959066,3.0185133998853746,91.36363636363637,low_morgan_lt_0.20,0.2,-2.0,88
Random,88,50,197,197,0.8636363636363636,0.04477272727272727,0.045655913334459064,0.9813447132462834,-0.09054835340631226,2.954410794220391,3.101257382884135,44.772727272727266,low_morgan_lt_0.20,0.2,-2.0,88
CGP-Align,88,100,1927,1375,0.9545454545454546,0.21897727272727277,0.045655913334459064,4.819074814143867,-0.829689514056352,2.3677159310316878,2.51516402026854,218.97727272727272,low_morgan_lt_0.20,0.2,-2.0,88
RDKit2D,88,100,765,552,0.9318181818181818,0.08693181818181818,0.045655913334459064,1.9388267185113428,-0.3077520988723303,2.7895880675338676,2.974386980126755,86.93181818181817,low_morgan_lt_0.20,0.2,-2.0,88
NYAN,88,100,774,535,0.9886363636363636,0.08795454545454545,0.045655913334459064,1.949696837659854,-0.30043167854092395,2.789428246154784,2.966568005266626,87.95454545454545,low_morgan_lt_0.20,0.2,-2.0,88
