method,pair_a,pair_b,mechanism_category,shared_gene_count,pair_shared_genes
AtomPair,1236,1323,Nuclear receptor/xenobiotic,3,33
AtomPair,1236,1323,Cell cycle/mitosis,2,33
AtomPair,1236,1323,DNA damage/repair,1,33
AtomPair,1236,1323,MAPK/RTK,1,33
AtomPair,1236,1323,PI3K/AKT/mTOR,1,33
AtomPair,1220,1489,Cell cycle/mitosis,1,26
AtomPair,1220,1489,DNA damage/repair,1,26
AtomPair,1220,1489,MAPK/RTK,1,26
AtomPair,99,1047,Cell cycle/mitosis,2,21
AtomPair,99,1047,MAPK/RTK,1,21
AtomPair,99,1047,PI3K/AKT/mTOR,1,21
AtomPair,0,636,DNA damage/repair,2,31
AtomPair,0,636,PI3K/AKT/mTOR,2,31
AtomPair,1220,1649,Cell cycle/mitosis,1,22
AtomPair,1110,1489,DNA damage/repair,1,21
AtomPair,110,350,Nuclear receptor/xenobiotic,2,16
AtomPair,110,350,Cell cycle/mitosis,1,16
AtomPair,110,350,DNA damage/repair,1,16
AtomPair,110,350,Epigenetic/chromatin,1,16
AtomPair,13,358,PI3K/AKT/mTOR,1,28
AtomPair,514,1539,Cell cycle/mitosis,2,19
AtomPair,514,1539,DNA damage/repair,1,19
AtomPair,314,1236,Cell cycle/mitosis,1,5
AtomPair,314,1236,Nuclear receptor/xenobiotic,1,5
AtomPair,273,436,PI3K/AKT/mTOR,2,27
AtomPair,273,436,Cell cycle/mitosis,1,27
AtomPair,762,1420,Cell cycle/mitosis,1,30
AtomPair,762,1420,MAPK/RTK,1,30
AtomPair,762,1420,PI3K/AKT/mTOR,1,30
AtomPair,205,1637,Nuclear receptor/xenobiotic,1,10
AtomPair,698,1238,Cell cycle/mitosis,1,31
AtomPair,698,1238,Epigenetic/chromatin,1,31
AtomPair,698,1238,MAPK/RTK,1,31
AtomPair,33,51,Cell cycle/mitosis,1,27
AtomPair,303,976,Cell cycle/mitosis,3,31
AtomPair,303,976,MAPK/RTK,1,31
AtomPair,303,976,Nuclear receptor/xenobiotic,1,31
AtomPair,303,976,PI3K/AKT/mTOR,1,31
AtomPair,1079,1781,Epigenetic/chromatin,1,30
AtomPair,1079,1781,Nuclear receptor/xenobiotic,1,30
AtomPair,672,1835,Lipid/transport state,1,22
AtomPair,94,1235,Cell cycle/mitosis,1,17
AtomPair,94,1235,Nuclear receptor/xenobiotic,1,17
AtomPair,94,1235,PI3K/AKT/mTOR,1,17
AtomPair,636,762,PI3K/AKT/mTOR,2,31
AtomPair,636,762,Cell cycle/mitosis,1,31
AtomPair,636,762,DNA damage/repair,1,31
AtomPair,246,1617,Cell cycle/mitosis,2,13
AtomPair,33,571,Cell cycle/mitosis,2,26
AtomPair,33,571,Nuclear receptor/xenobiotic,1,26
AtomPair,33,571,PI3K/AKT/mTOR,1,26
AtomPair,116,336,DNA damage/repair,2,25
AtomPair,116,336,Cell cycle/mitosis,1,25
AtomPair,116,336,PI3K/AKT/mTOR,1,25
AtomPair,387,436,Cell cycle/mitosis,1,23
AtomPair,387,436,DNA damage/repair,1,23
AtomPair,681,1081,Nuclear receptor/xenobiotic,3,24
AtomPair,681,1081,Cell cycle/mitosis,2,24
AtomPair,1112,1835,Nuclear receptor/xenobiotic,1,18
AtomPair,309,1389,MAPK/RTK,2,27
AtomPair,309,1389,Nuclear receptor/xenobiotic,2,27
AtomPair,309,1389,Cell cycle/mitosis,1,27
AtomPair,309,1389,Epigenetic/chromatin,1,27
AtomPair,227,1382,Cell cycle/mitosis,2,21
AtomPair,227,1382,DNA damage/repair,1,21
AtomPair,571,1238,Cell cycle/mitosis,1,29
AtomPair,1079,1787,Nuclear receptor/xenobiotic,3,26
AtomPair,1079,1787,MAPK/RTK,1,26
AtomPair,1079,1787,PI3K/AKT/mTOR,1,26
AtomPair,571,1277,Cell cycle/mitosis,1,18
AtomPair,571,1277,Lipid/transport state,1,18
AtomPair,1210,1328,DNA damage/repair,1,6
AtomPair,1585,1763,Cell cycle/mitosis,2,30
AtomPair,1585,1763,Epigenetic/chromatin,1,30
AtomPair,1585,1763,PI3K/AKT/mTOR,1,30
AtomPair,461,1437,Lipid/transport state,1,32
AtomPair,461,1437,MAPK/RTK,1,32
AtomPair,794,1300,Cell cycle/mitosis,1,12
AtomPair,794,1300,DNA damage/repair,1,12
AtomPair,794,1300,Microtubule,1,12
AtomPair,99,439,Cell cycle/mitosis,3,28
AtomPair,99,439,MAPK/RTK,3,28
AtomPair,99,439,Microtubule,1,28
AtomPair,99,439,PI3K/AKT/mTOR,1,28
AtomPair,350,1805,Nuclear receptor/xenobiotic,3,31
AtomPair,350,1805,Cell cycle/mitosis,2,31
AtomPair,350,1805,DNA damage/repair,1,31
AtomPair,350,1805,Epigenetic/chromatin,1,31
AtomPair,350,1805,Lipid/transport state,1,31
AtomPair,1382,1835,Cell cycle/mitosis,1,17
AtomPair,13,1011,Cell cycle/mitosis,2,31
AtomPair,13,1011,PI3K/AKT/mTOR,2,31
AtomPair,13,1011,DNA damage/repair,1,31
