method,query_idx,retrieved_idx,pair_a,pair_b,rank,method_score,prism_response_corr,top_gene_k,shared_top_gene_count,shared_top_gene_jaccard,shared_gene_hypergeom_p,shared_gene_neglog10p,num_category_hits,num_unique_categories,dominant_categories,query_name,retrieved_name,query_moa,retrieved_moa,query_targets,retrieved_targets,known_target_hits_top_gene,known_target_hits_shared_gene,shared_gene_symbols_top20
RDKit2D,584,178,178,584,17,0.3198782205581665,0.3070528209209442,50,11,0.12359550561797752,1.2002123197780373e-14,13.920741919659442,1,1,Lipid/transport state:1,serdemetan,dapivirine,MDM inhibitor,non-nucleoside reverse transcriptase inhibitor,MDM2,"CYP3A4, CYP3A5",MDM2,,KMT2C;SYT11;SLC2A11;SYT12;E2F5;RUNX2;E2F4;SOCS6;CHN2;POLQ;NCOA6
RDKit2D,886,461,461,886,17,0.4379532039165497,0.3018472492694855,50,30,0.42857142857142855,4.2070915821666967e-57,56.37601803393101,5,4,MAPK/RTK:2; Epigenetic/chromatin:1; Lipid/transport state:1; Nuclear receptor/xenobiotic:1,entrectinib,ASP3026,"ALK tyrosine kinase receptor inhibitor, proto-oncogene tyrosine protein kinase inhibitor",ALK tyrosine kinase receptor inhibitor,"ALK, NTRK1, NTRK2, NTRK3, ROS1",ALK,,,CHN2;REV3L;RUNX3;SYT11;SOCS6;RUNX2;AFF3;AFF1;POLQ;MED14;PRPF8;TAGAP;SLC2A11;MDM2;EHMT1;STAG1;RUNX1;KMT2C;TRIP10;MAP3K2
RDKit2D,1277,1486,1277,1486,17,0.3630001842975616,0.300251305103302,50,20,0.25,1.8231879712232907e-32,31.739168553146122,3,2,Cell cycle/mitosis:2; MAPK/RTK:1,ribociclib,NVP-TAE226,CDK inhibitor,protein tyrosine kinase inhibitor,"CDK4, CDK6",PTK2,,,CHN2;REV3L;WRN;RUNX3;CDC25A;AFF3;POLQ;PI4KA;SOCS6;RUNX2;AFF1;CCNA1;FBXO5;DDX56;TRRAP;MAP3K2;CRKL;EHMT1;PRPF8;TRIP10
RDKit2D,1647,746,746,1647,18,0.3626454770565033,0.585516631603241,50,23,0.2987012987012987,2.5463133512683163e-39,38.594088152782554,0,0,,WZ8040,gefitinib,EGFR inhibitor,EGFR inhibitor,EGFR,EGFR,,,CHN2;MED14;RUNX3;MDM2;REV3L;SYT11;POLQ;DDX56;TAGAP;RUNX2;E2F4;SOCS6;SOCS2;SOCS3;SYT12;AFF3;TAF1;PI4KA;WRN;KMT2C
RDKit2D,1080,1763,1080,1763,18,0.3582700192928314,0.5706124901771545,50,30,0.42857142857142855,4.2070915821666967e-57,56.37601803393101,4,3,Cell cycle/mitosis:2; Lipid/transport state:1; PI3K/AKT/mTOR:1,MPI-0479605,AZ3146,mitotic kinase inhibitor,monopolar spindle 1 kinase inhibitor,TTK,,,,CHN2;REV3L;SOCS2;SYT11;AFF3;RUNX3;DDX56;RUNX2;POLQ;CDC25A;MED14;SYT12;CISH;PIK3R3;KMT2C;SOCS3;PRPF8;AFF1;WRN;SOCS6
RDKit2D,1428,733,733,1428,18,0.3603285849094391,0.4430570602416992,50,1,0.010101010101010102,0.2869679581324841,0.542166592405756,0,0,,JNJ-7706621,SC-144,CDK inhibitor,P glycoprotein inhibitor,"AURKA, AURKB, CDK1, CDK2",,,,NFKBIE
RDKit2D,885,435,435,885,18,0.3077460825443268,0.4175469279289245,50,10,0.1111111111111111,6.082146886560177e-13,12.215943095659785,0,0,,mepacrine,hycanthone,"cytokine production inhibitor, NFkB pathway inhibitor, TP53 activator",RNA synthesis inhibitor,"PLA2G1B, PLA2G4A, PLA2G6, PLCL1",,,,FBXO5;TNFRSF14;SNX16;CD40;PNO1;MREG;CALHM2;SKP2;PPP1R3C;PIAS1
RDKit2D,841,389,389,841,18,0.3716331124305725,0.3836905658245086,50,23,0.2987012987012987,2.5463133512683163e-39,38.594088152782554,4,2,Nuclear receptor/xenobiotic:3; Cell cycle/mitosis:1,AZD3463,AT-9283,"ALK tyrosine kinase receptor inhibitor, insulin growth factor receptor inhibitor","Aurora kinase inhibitor, JAK inhibitor","ALK, IGF1R","AURKA, AURKB, JAK2, JAK3, RPS6KA6, STK17A",AURKB,,CHN2;RUNX3;WRN;DDX56;REV3L;RUNX2;MED14;CRKL;PI4KA;TRRAP;POLQ;SYT11;FBXO5;ARHGEF16;CSK;ARHGEF9;TRIP10;MDM2;AFF3;CCNA2
RDKit2D,417,908,417,908,18,0.4580435156822204,0.3628373444080353,50,29,0.4084507042253521,2.1100714677989926e-54,53.67570283496529,6,5,Cell cycle/mitosis:2; Lipid/transport state:1; MAPK/RTK:1; Nuclear receptor/xenobiotic:1,KD025,GSK1904529A,rho associated kinase inhibitor,"IGF-1 inhibitor, insulin growth factor receptor inhibitor, insulin receptor ligand",ROCK2,"IGF1R, INSR",,,CHN2;REV3L;TAGAP;PRPF8;AFF1;AFF3;POLQ;STAG1;RUNX3;MAP3K2;CDK17;SLC2A11;CDC25A;SOCS3;RUNX2;ZFP36;KMT2C;PIK3R3;BPTF;SYT11
RDKit2D,1763,1739,1739,1763,18,0.3752672970294952,0.3529407083988189,50,21,0.26582278481012656,1.0606796405142755e-34,33.97441576724446,2,2,Cell cycle/mitosis:1; Lipid/transport state:1,NMS-E973,AZ3146,HSP inhibitor,monopolar spindle 1 kinase inhibitor,,,,,CHN2;RUNX3;RUNX2;PI4KA;SOCS2;AFF3;SYT11;FBXO5;CDC25A;SOCS3;SYT12;KMT2C;SOCS6;CISH;SLC2A11;PDLIM1;AFF1;MED14;POLQ;UBTF
RDKit2D,1119,1503,1119,1503,18,0.4396578967571258,0.3445830643177032,50,28,0.3888888888888889,9.320406357835471e-52,51.030565152547474,3,2,Cell cycle/mitosis:2; Nuclear receptor/xenobiotic:1,CUDC-101,KW-2478,EGFR inhibitor,HSP inhibitor,"EGFR, ERBB2",,,,CHN2;DDX56;TRRAP;WRN;CDC25A;REV3L;POLQ;PI4KA;CISH;AFF3;CRKL;SOCS2;SOCS3;RUNX3;MED14;FBXO5;RUNX2;UBTF;CCNA1;SYK
RDKit2D,1389,1238,1238,1389,18,0.3974705934524536,0.3439328074455261,50,21,0.26582278481012656,1.0606796405142755e-34,33.97441576724446,3,2,Cell cycle/mitosis:2; MAPK/RTK:1,barasertib-HQPA,PU-H71,Aurora kinase inhibitor,HSP inhibitor,AURKB,HSP90AA1,,,CHN2;SOCS2;SYT11;AFF3;SYT4;REV3L;FBXO5;CDC25A;WRN;PLK1;RUNX2;MED14;POLQ;SOCS3;SYT12;AFF1;SYT1;UBTF;CISH;FGFR2
RDKit2D,685,1128,685,1128,18,0.4249986410140991,0.3293506503105163,50,4,0.041666666666666664,0.0003309395285854571,3.4802513560760056,0,0,,GW-843682X,TW-37,PLK inhibitor,BCL inhibitor,"PLK1, PLK3","BCL2, BCL2L1, MCL1",PLK1,,CHN2;REV3L;TAGAP;UBTF
RDKit2D,1128,232,232,1128,18,0.4815970659255981,0.3169067502021789,50,3,0.030927835051546393,0.004481931208727194,2.3485348135527326,0,0,,foretinib,TW-37,VEGFR inhibitor,BCL inhibitor,"FLT1, FLT4, KDR, MET","BCL2, BCL2L1, MCL1",,,REV3L;CHN2;TAGAP
